№ заказа,Дата поступления заказа,Название товара в Kaspi Магазине,Название в системе продавца,Артикул,Сумма,Категория,Адрес самовывоза/доставки,Дата изменения статуса,Статус,Причина отмены,Способ оплаты,Способ доставки,Курьерская служба,Принял,Выдал,Отменил,Оценка покупателя,Отзыв покупателя,Дата публикации отзыва,Оформил,Количество,Стоимость доставки для покупателя,Стоимость доставки для продавца,Компенсация за доставку,Требуется подписание,Плановая дата передачи курьеру,Фактическая дата комплектации,Склад передачи КД
980526681,29.06.2026,"Заглушка для розеток Venera Online, 10 шт, пластик, черный",Заглушка черная Venera 10 шт,128108053_4844984892,1054,Защитные устройства для мебели,г. Бесагаш,29.06.2026,Передан курьеру,,Оплата в кредит,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,0.0,Не требуется,30.06.2026,,30397554_PP2
976920911,26.06.2026,"Панама D_4879 размер универсальный, синий",детская панамка синяя,119408939_6784857253,1218,Головные уборы,г. Алматы,29.06.2026,Ожидает отмены,"Отменен покупателем (Не успеваю забрать/получить товар (нет в городе, дома, на работе, уехал и т.д.))",Оплата в кредит,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,0.0,Не требуется,27.06.2026,,30397554_PP2
980418342,29.06.2026,"Брелок Брелок Keychain spinner 1 пластик, металл 1 шт",брелок спинер,117848532_753835622,638,Брелоки и ключницы,г. Астана,29.06.2026,Передан курьеру,,Оплата в кредит,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,57.0,0.0,Не требуется,30.06.2026,,30397554_PP2
980400893,29.06.2026,"Панама D_4879 размер универсальный, синий",детская панамка синяя,119408939_6784857253,1216,Головные уборы,г. Петропавловск,29.06.2026,Передан курьеру,,Оплата в кредит,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,0.0,Не требуется,30.06.2026,,30397554_PP2
980351324,29.06.2026,"Корзина Модель 35x42x58 см, дерево",корзина для белья наша 42 см,164333186,4662,"Коробки, ящики и корзины для хранения",г. Астана,29.06.2026,Передан курьеру,,Оплата в кредит,Доставка,Kaspi Логистика,,,,,,,,1,0.0,231.0,0.0,Не требуется,30.06.2026,,30397554_PP2
980348154,29.06.2026,Термометр электронный 2514-6 1 шт,кулинарный термометр,108479520_45651153132,615,Аксессуары для готовки,г. Актобе,29.06.2026,Передан курьеру,,Оплата в кредит,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,0.0,Не требуется,30.06.2026,,30397554_PP2
980297435,29.06.2026,"PROSPERO декоративный светильник с эффектом заката NB604-3, стекло",лампа для блога,105611216_79099041,1699,Ночники и декоративные светильники,г. Риддер,29.06.2026,Передан курьеру,,Оплата в кредит,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,0.0,Не требуется,30.06.2026,,30397554_PP2
980201334,29.06.2026,OnlineAL пирометр GM320,пирометр,103293346_856598652,2660,Пирометры,г. Атырау,29.06.2026,Передан курьеру,,Оплата в кредит,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,0.0,Не требуется,30.06.2026,,30397554_PP2
978089394,27.06.2026,Горелка APQ106 без баллона,газовая горелка с соплами,118365566_6578489432,11691,Туристические горелки и обогреватели,г. Костанай,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,1507.0,,Не требуется,29.06.2026,,30397554_PP2
978792243,28.06.2026,Вакуумные банки силикон,вакуумные силиконовые баночки 4 шт,133873074_59582080,1999,"Механические массажеры, роллеры, скребки",г. Аксай,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
977803255,27.06.2026,"Цепь для сумок с карабинами 120 см 1 шт, кольцо карабин 25 мм 2 шт металл серебристый",цепь для сумок с карабинами,105967272_5316516578,1084,Ручки и ремни для сумок,г. Жаркент,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979043248,28.06.2026,Адаптер для коляски 30308271_170472987 серый,держатель телефона паутина,121361634_6438902572,600,Аксессуары для колясок,г. Павлодар,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979113531,28.06.2026,"Linara чехлы для шин 969004969004 L красный, черный",чехол для колес L,112576671_980823480,3999,Защитные тенты-чехлы,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,231.0,,Не требуется,29.06.2026,,30397554_PP2
979906230,29.06.2026,"Держатель 02G 2 шт, нержавеющая сталь",крючки на присосках черные 2 шт,147867423_7573289858,2101,Держатели и крючки для ванной,г. Караганда,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979414569,29.06.2026,Чехол Chevrolet Cobalt черный,брелок Cobalt,112195203_391580318,2015,Брелоки и чехлы для автосигнализаций,г. Тараз,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979086927,28.06.2026,"Держатель для фена с клейкой основой 8754 1 шт, черный, металл",держатель фена,109268240_454683213,639,Держатели и крючки для ванной,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978585711,28.06.2026,"CAT Набор зубная паста, щетка двусторонняя, напальчник 609479 3 предмета",зубная паста для котят,109523171_8657577457,1400,Зубные щетки для животных,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979332896,28.06.2026,"Лопатка 631776231 25 см*12 см Лопатка кулинарная силиконовая широкая 1 шт, силикон",лопатка силикон,135126149_66231809812,600,Кухонные инструменты,г. Тараз,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978295039,27.06.2026,"Держатель для фена с клейкой основой 8754 1 шт, черный, металл",держатель фена,109268240_454683213,639,Держатели и крючки для ванной,г. Шымкент,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979027409,28.06.2026,Брелок 30385409_543791093 5.56 пластик 1 шт,брелок фотоальбом,140796702_568793952,500,Брелоки и ключницы,г. Атырау,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979386224,28.06.2026,"Форма Форма тарталетки для клубники (белый) 8 см, 100шт, бумага",бумажные формочки для кексиков,137310897_6578940356,778,Посуда и формы для выпечки и запекания,г. Лисаковск,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,2,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978829474,28.06.2026,Пион силиконовая форма,Форма для свеч,142668752 _4708190908273,3468,Молды для творчества,г. Кызылорда,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,3,0.0,231.0,,Не требуется,29.06.2026,,30397554_PP2
979685518,29.06.2026,ROXY-KIDS мягкие накладки на углы стола RCG-003 4 шт бежевый,kids zone бежевый 4 шт,103437779_123123123,5695,Защитные устройства для мебели,г. Астана,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,5,0.0,811.0,,Не требуется,29.06.2026,,30397554_PP2
977830029,27.06.2026,Микротоковый массажер,Массажер для глаз,136259725_288292929,1574,Малая косметологическая техника,г. Жанаарка,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979699661,29.06.2026,Портативное биде 30397554_438916857,Зеленое биде,157178994_9878897898,2252,Походные души и рукомойки,г. Усть-Каменогорск,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
978843082,28.06.2026,Портативное биде 30397554_438916857,Зеленое биде,157178994_9878897898,2252,Походные души и рукомойки,г. Астана,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979630608,29.06.2026,Микротоковый массажер,Массажер для глаз,136259725_288292929,1574,Малая косметологическая техника,г. Атырау,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979206007,28.06.2026,Каподастр для гитары черный,каподастр,106427606_3458962189,893,Каподастры,г. Актау,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978477870,28.06.2026,Термометр электронный 2514-6 1 шт,кулинарный термометр,108479520_45651153132,1230,Аксессуары для готовки,г. Астана,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,2,500.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979086419,28.06.2026,"Заглушка для розеток Venera Online, 10 шт, пластик, черный",Заглушка черная Venera 10 шт,128108053_4844984892,1057,Защитные устройства для мебели,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
978113569,27.06.2026,"Дождевик YH140312 48, 52",Дождевик серый,135932817_272882939,1582,Одежда и обувь для рыбалки,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,2,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979885324,29.06.2026,Гольфы Home baby 22072025 белый 30-36,гольфы белые,142845353_54445615,700,Женские гольфы,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979369469,28.06.2026,Ремень-подтяжка 281437 4 шт,клипса для простыней белые,107594478_48345132123,993,Крепеж для постельного белья,г. Бесагаш,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979312136,28.06.2026,Гольфы Куриные лапки чулки,гольфы лапки,108489572_7584523904,1299,Аксессуары для карнавалов и вечеринок,г. Карабулак (Талдыкорган),29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979525949,29.06.2026,Картхолдер экокожа чёрный,картхолдер,121263817_3865833253,499,Кошельки и визитницы,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978136479,27.06.2026,Держатель для очков FEYS-0022 красный 86 см,держатель очков бордо,136890679_6734788934,739,Держатели для очков,г. Актау,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979008283,28.06.2026,Ремень-подтяжка 281437 4 шт,клипса для простыней белые,107594478_48345132123,995,Крепеж для постельного белья,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978284666,27.06.2026,Термометр электронный 2514-6 1 шт,кулинарный термометр,108479520_45651153132,615,Аксессуары для готовки,г. Талгар,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
977789340,27.06.2026,ROXY-KIDS мягкие накладки на углы стола RCG-003 4 шт бежевый,kids zone бежевый 4 шт,103437779_123123123,1139,Защитные устройства для мебели,г. Актау,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979326933,28.06.2026,Микротоковый массажер,Массажер для глаз,136259725_288292929,1574,Малая косметологическая техника,г. Тараз,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979005431,28.06.2026,Гольфы Home baby 22072025 белый 30-36,гольфы белые,142845353_54445615,700,Женские гольфы,г. Бесагаш,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979218212,28.06.2026,"Панама D_4879 размер универсальный, синий",детская панамка синяя,119408939_6784857253,1218,Головные уборы,г. Семей,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979139401,28.06.2026,Картхолдер экокожа чёрный,картхолдер,121263817_3865833253,499,Кошельки и визитницы,г. Усть-Каменогорск,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979225389,28.06.2026,Держатель для очков FEYS-0022 красный 86 см,держатель очков бордо,136890679_6734788934,1560,Держатели для очков,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,2,500.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
978704284,28.06.2026,"Герметик Жидкая изолента, цвет белый 125 мл",жидкая изолента белая,111469779_231123123,2161,Герметики,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979188913,28.06.2026,Переходник 281716 1 шт,переходник плоский с широким входом,108539357_080808800,2235,"Переходники, вилки и тройники",г. Усть-Каменогорск,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,15,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
978177928,27.06.2026,Puer.kz венчик для чая матча Часен QZ143 бежевый,Кисть для чая,103467323_3232323,2416,Аксессуары для приготовления напитков,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979642113,29.06.2026,Пирамидка Стаканчики пластик,чашки пирамидки,114376618_9865678645,795,Развивающие игрушки,г. Талдыкорган,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979653739,29.06.2026,"IEK ночник в розетку LDNN8-018-SQ-P-00-S-K01, пластик",ночник в розетку,110495253_845613353,476,Ночники и декоративные светильники,г. Талдыкорган,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978947124,28.06.2026,Букет из сухоцветов 34 см,хлопок 10 шт,129093655_8562331,989,Сухоцветы,г. Актау,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979637945,29.06.2026,Держатель для очков FEYS-0022 красный 86 см,держатель очков бордо,136890679_6734788934,739,Держатели для очков,г. Жибек Жолы (Шамалган),29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979302515,28.06.2026,"Подстаканник для коляски 875610, черный",подстаканник в коляску,112424948_213123123312,1294,Аксессуары для колясок,г. Костанай,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
978339100,27.06.2026,Puer.kz венчик для чая матча Часен QZ143 бежевый,Кисть для чая,103467323_3232323,2416,Аксессуары для приготовления напитков,г. Тараз,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,995.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979091679,28.06.2026,Мольберт Объектив,оптический экран для рисования маленький,151203980_65747823748,1150,Мольберты и доски для рисования,г. Астана,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка,Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979701438,29.06.2026,Пароварка-вкладыш FOOD STEAMER M 1 шт,пароварка-вкладыш,112363728_231123123,905,Аксессуары для готовки,г. Темиртау,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978969482,28.06.2026,"Ночник в розетку Warm White, пластик",ночник в розетку,123582478_89456184651,1737,Ночники и декоративные светильники,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,3,500.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979532581,29.06.2026,Форма для чебуреков 30372798_471591795 2 шт,форма для чебуреков,152717796_78489578420,2400,Аксессуары для готовки,г. Карабалык,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979630086,29.06.2026,Зажим _Набор держателей для простыни 12 шт,зажим для простыней трубы,146289741_79798089,711,Крепеж для постельного белья,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978081940,27.06.2026,"Leather для паспорта, искусственная кожа",чехол для паспорта коралловый,115812457_5845683723,1200,Обложки для документов,г. Тюлькубас,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
978134631,27.06.2026,KidGo подстаканник для коляски универсальный СHB324 черный,подстаканник в коляску боковой,104045657_574838995,1569,Аксессуары для колясок,г. Тараз,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979488880,29.06.2026,PET SUPPLIES фурминатор 244 желтый,фурминатор,104801620_4708190908243,1502,"Фурминаторы, расчески, пуходерки",г. Усть-Каменогорск,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,995.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979480674,29.06.2026,"Когтерез-ножницы, вид животного: кошки, собаки",когтерезка,133884877_575284025,769,Когтерезы и пилки для животных,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978910955,28.06.2026,"Ночник в розетку Warm White, пластик",ночник в розетку,123582478_89456184651,579,Ночники и декоративные светильники,г. Жаркент,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978431988,28.06.2026,Щетка 0073010 1 шт,щетка от пыли для авто,303508190,1600,Принадлежности для мойки автомобилей,г. Рудный,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
978585003,28.06.2026,"Панама D_4879 размер универсальный, синий",детская панамка синяя,119408939_6784857253,1218,Головные уборы,г. Талдыкорган,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
977969432,27.06.2026,Пароварка-вкладыш 30448847_MR3-025 1 шт,пароварка-вкладыш,159816248_657482932,897,Аксессуары для готовки,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978201187,27.06.2026,"Супермаркет Посуды подставка 804505, металл",подставка для посуды,106392563_23312333,1950,Подставки и держатели для посуды,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
978662738,28.06.2026,Игрушка JM58569,Игрушка девочка мальчик красные,121379182_5784982047,600,Прочие аксессуары для автомобиля,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978335861,27.06.2026,105396748 фиксатор на шейный отдел размер универсальный белый,Держатель шеи,134655481_54123123,672,Шейный отдел,г. Шымкент,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978002337,27.06.2026,Игрушка Самурай 4866694,набор самураи 2 шт,130946716_657365729,564,Прочие аксессуары для автомобиля,г. Кызылорда,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979857243,29.06.2026,Ролик для теста 226827 1 шт,кондитерский валик,109903355_5737208574,620,Аксессуары для готовки,г. Уральск,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979062494,28.06.2026,Ролик для теста 226827 1 шт,кондитерский валик,109903355_5737208574,620,Аксессуары для готовки,г. Талдыкорган,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979858767,29.06.2026,Игрушка Самурай 4866694,набор самураи 2 шт,130946716_657365729,562,Прочие аксессуары для автомобиля,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979285061,28.06.2026,Игрушка Самурай 4866694,набор самураи 2 шт,130946716_657365729,564,Прочие аксессуары для автомобиля,г. Шу,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979868008,29.06.2026,"Ножницы кухонные СЕН ҮШІН 1 шт, нержавеющая сталь",кухонные ножницы золото,118067916_123123132,1247,Кухонные инструменты,г. Астана,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
978170738,27.06.2026,Игрушка JM58569,Игрушка девочка мальчик красные,121379182_5784982047,600,Прочие аксессуары для автомобиля,г. Астана,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз,Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978532718,28.06.2026,Зажим 549395388 6 шт,клипса для простыней LOVE розовый 6 шт,144170610_676577483,675,Крепеж для постельного белья,г. Талгар,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979272485,28.06.2026,"Crystalline нож для теста CREAM CAKE TOOL, лезвие: сталь 1 шт",бенч скребок стальной,105536965_5093259724,997,"Ножи, ножницы и наборы",г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978308612,27.06.2026,Ролик для теста Сеточка 1 шт,кондитерский валик,109903758_97979792,620,Аксессуары для готовки,г. Рудный,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978484694,28.06.2026,Зажим _Набор держателей для простыни 12 шт,зажим для простыней трубы,146289741_79798089,711,Крепеж для постельного белья,г. Алматы,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979067799,28.06.2026,"Ножницы кухонные СЕН ҮШІН 1 шт, нержавеющая сталь",кухонные ножницы золото,118067916_123123132,2494,Кухонные инструменты,г. Талдыкорган,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,2,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
978169937,27.06.2026,"Ножницы кухонные СЕН ҮШІН 1 шт, нержавеющая сталь",кухонные ножницы золото,118067916_123123132,1247,Кухонные инструменты,г. Кентау,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
979380258,28.06.2026,Игрушка JM58569,Игрушка девочка мальчик красные,121379182_5784982047,600,Прочие аксессуары для автомобиля,г. Карабулак  (Турк. Обл.),29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,500.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979143177,28.06.2026,Ролик для теста Сеточка 1 шт,кондитерский валик,109903758_97979792,620,Аксессуары для готовки,г. Атырау,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
978929352,28.06.2026,Ключница Парные акрил 2 шт,Ключница вверх,121021356_564185641,949,Брелоки и ключницы,г. Шымкент,29.06.2026,Передан курьеру,,Безналичная оплата,Доставка (межгород),Kaspi Логистика,,,,,,,,1,0.0,57.0,,Не требуется,29.06.2026,,30397554_PP2
979575147,29.06.2026,591189838 белый,сушилка для обуви,117406673_8644553,2444,Сушилки для обуви,г. Павлодар,29.06.2026,Передан курьеру,,Безналичная оплата,Самовывоз (межгород),Kaspi Логистика,,,,,,,,1,0.0,173.0,,Не требуется,29.06.2026,,30397554_PP2
